,brand,name,price_100ml,price_50ml,price_150ml,price_125ml,price_75ml,price_200ml,price_30ml,price_10ml,price_250ml,price_60ml,price_90ml,price_15ml,price_70ml,price_35ml,price_33ml,price_80ml,price_180ml,price_40ml,price_5ml,price_105ml,price_18ml,price_300ml,price_20ml,price_120ml,price_25ml,price_140ml,price_400ml,price_1000ml,price_175ml,price_500ml,price_800ml,price_8ml,price_110ml,price_16ml,price_55ml,price_240ml,price_93ml,price_225ml,price_45ml,price_160ml,price_65ml,price_85ml,price_3ml,price_11ml,price_750ml,price_88ml,price_118ml,price_59ml,price_6ml,price_67ml,price_170ml,price_4ml,price_115ml,price_27ml,price_12ml,price_290ml,price_130ml,price_95ml,price_236ml,price_220ml,price_89ml,price_7ml,price_350ml,price_14ml,price_113ml,price_135ml,price_28ml,price_96ml,price_87ml,price_92ml,price_97ml,price_3.7ml,price_600ml,price_24ml,price_245ml,price_44ml,price_9ml,price_74ml,price_32ml,price_2ml,price_450ml,price_700ml,price_78ml,price_177ml,price_434ml,price_29ml,price_194ml,price_490ml,price_945ml,price_230ml,price_385ml,price_625ml,price_320ml,price_480ml,price_68ml,price_330ml,price_235ml,price_355ml,price_57ml
58,MarcAntoine Barrois,Ganymede Marc-Antoine Barrois 2019 Eau de Parfum,"195,00 €","275,00 €",,,,,"115,00 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Tiziana Terenzi,Kirkè Tiziana Terenzi 2015 Extrait de Parfum,"87,35 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,Nishane,Wūlóng Chá Nishane 2014 Extrait de Parfum,"140,00 €","147,10 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Parfums de Marly,Oajan,,,,"230,59 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Dior,Fahrenheit Dior 1988 Eau de Toilette,"74,65 €","66,40 €",,"118,55 €","89,59 €","129,80 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,XerJoff,Casamorati - Lira XerJoff 2011 Eau de Parfum,"180,34 €",,,,,,"85,00 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Jean Paul Gaultier,Le Mâle Elixir,,,,"83,99 €","60,65 €","114,95 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Roja Parfums,Elysium Parfum Cologne Roja Parfums 2017 Eau de Parfum,"208,20 €","272,40 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,Dior,Dior Homme Parfum,"97,94 €","72,49 €","113,94 €",,"116,45 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Maison Margiela,Jazz Club,"72,54 €",,,,,,"44,29 €","29,70 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Dior,Sauvage Dior 2018 Eau de Parfum,"79,00 €",,,,,"145,45 €","62,95 €",,"799,99 €","74,85 €",,,,,,,,,,,,"191,45 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,Zara,Sunrise on the Red Sand Dunes Zara 2023 Eau de Parfum,"42,99 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,Nasomatto,Black Afgano Nasomatto 2009 Extrait de Parfum,,,,,,,"104,00 €",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
